customer_id,customer_gender,customer_income_group,customer_region,customer_marital_status
400,M,0- $25K,North,unmarried
401,M,$25-$70K,South,married
402,M,>$70K,East,unmarried
403,M,$25-$70K,West,married
404,M,$25-$70K,North,married
405,M,$25-$70K,North,unmarried
406,M,$25-$70K,North,unmarried
407,M,$25-$70K,North,unmarried
408,M,$25-$70K,North,married
409,M,$25-$70K,North,unmarried
410,M,$25-$70K,North,married
411,M,$25-$70K,North,unmarried
412,M,$25-$70K,North,unmarried
413,M,$25-$70K,North,unmarried
414,M,$25-$70K,North,married
415,M,$25-$70K,North,unmarried
416,M,$25-$70K,North,married
417,M,$25-$70K,North,unmarried
418,M,$25-$70K,North,unmarried
419,M,$25-$70K,North,unmarried
420,M,$25-$70K,North,unmarried
420,M,$25-$70K,North,married
755,M,$25-$70K,North,unmarried
756,M,$25-$70K,North,married
757,M,$25-$70K,North,unmarried
758,M,$25-$70K,North,unmarried
759,M,$25-$70K,North,unmarried
760,M,$25-$70K,North,married
761,M,$25-$70K,North,unmarried
762,M,$25-$70K,North,unmarried
763,M,$25-$70K,South,married
764,M,$25-$70K,South,unmarried
765,M,$25-$70K,South,unmarried
766,M,$25-$70K,South,unmarried
767,M,$25-$70K,South,married
768,M,$25-$70K,South,married
769,M,$25-$70K,South,married
770,M,$25-$70K,South,unmarried
771,M,$25-$70K,South,unmarried
772,M,$25-$70K,South,married
773,M,$25-$70K,South,unmarried
774,M,$25-$70K,South,married
775,M,$25-$70K,South,married
776,M,$25-$70K,South,unmarried
777,M,$25-$70K,South,unmarried
778,M,$25-$70K,South,unmarried
779,M,$25-$70K,South,married
780,M,$25-$70K,South,unmarried
781,M,$25-$70K,South,married
782,M,$25-$70K,South,unmarried
783,M,$25-$70K,South,unmarried
784,M,$25-$70K,South,unmarried
785,M,$25-$70K,South,married
786,M,$25-$70K,South,married
787,M,$25-$70K,South,unmarried
788,M,$25-$70K,South,unmarried
789,M,$25-$70K,South,unmarried
790,M,$25-$70K,South,unmarried
791,M,$25-$70K,South,married
792,M,$25-$70K,South,married
793,M,$25-$70K,South,married
794,M,$25-$70K,South,married
795,M,$25-$70K,South,married
796,M,$25-$70K,South,married
797,M,$25-$70K,South,married
798,M,$25-$70K,South,unmarried
799,M,$25-$70K,South,married
800,M,$25-$70K,South,unmarried
801,M,$25-$70K,South,married
802,M,$25-$70K,South,married
803,M,$25-$70K,South,unmarried
804,M,$25-$70K,South,unmarried
805,M,$25-$70K,South,married
806,M,$25-$70K,South,unmarried
807,M,$25-$70K,South,unmarried
808,M,$25-$70K,South,unmarried
809,M,$25-$70K,South,unmarried
810,M,$25-$70K,South,married
811,M,$25-$70K,South,unmarried
812,M,$25-$70K,South,married
813,M,$25-$70K,South,married
814,M,$25-$70K,South,unmarried
815,M,$25-$70K,South,unmarried
816,M,$25-$70K,South,married
817,M,$25-$70K,South,unmarried
818,M,$25-$70K,South,unmarried
819,M,$25-$70K,South,married
820,M,$25-$70K,South,unmarried
821,M,$25-$70K,South,unmarried
822,M,$25-$70K,South,married
823,M,$25-$70K,South,married
824,M,$25-$70K,South,unmarried
825,M,$25-$70K,South,unmarried
826,M,$25-$70K,South,unmarried
827,M,$25-$70K,South,unmarried
828,M,$25-$70K,South,unmarried
829,M,$25-$70K,South,unmarried
830,M,$25-$70K,South,married
831,M,$25-$70K,South,married
832,M,$25-$70K,South,unmarried
833,M,$25-$70K,South,unmarried
834,M,$25-$70K,South,married
835,M,$25-$70K,South,unmarried
836,M,$25-$70K,South,unmarried
837,M,$25-$70K,South,unmarried
838,M,$25-$70K,South,unmarried
839,M,$25-$70K,South,married
840,M,$25-$70K,South,unmarried
840,M,$25-$70K,South,married
840,M,>$70K,South,married
840,M,>$70K,South,unmarried
995,M,>$70K,South,unmarried
996,M,>$70K,South,married
997,M,>$70K,South,married
998,M,>$70K,South,unmarried
999,M,>$70K,South,unmarried
1000,M,>$70K,South,married
1001,M,>$70K,South,married
1002,M,>$70K,South,married
1003,M,>$70K,South,married
1004,M,>$70K,South,unmarried
1005,M,>$70K,South,unmarried
1006,M,>$70K,South,unmarried
1007,M,>$70K,South,married
1008,M,>$70K,South,unmarried
1009,M,>$70K,South,married
1010,M,>$70K,South,married
1011,M,>$70K,South,married
1012,M,>$70K,South,married
1013,M,>$70K,South,unmarried
1014,M,>$70K,South,unmarried
1015,M,>$70K,South,unmarried
1016,M,>$70K,South,married
1017,M,>$70K,South,married
1018,M,>$70K,South,married
1019,M,>$70K,South,married
1020,M,>$70K,South,unmarried
1021,M,>$70K,South,married
1022,M,>$70K,South,unmarried
1023,M,>$70K,South,unmarried
1024,M,>$70K,South,married
1025,M,>$70K,South,unmarried
1026,M,>$70K,South,married
1027,M,>$70K,South,unmarried
1028,M,>$70K,South,married
1029,M,>$70K,South,married
1030,M,>$70K,South,married
1031,M,>$70K,South,unmarried
1032,M,>$70K,South,unmarried
1033,M,>$70K,South,unmarried
1034,M,>$70K,South,unmarried
1035,M,>$70K,South,unmarried
1036,M,>$70K,South,married
1037,M,>$70K,South,married
1038,M,>$70K,South,unmarried
1039,M,>$70K,South,married
1040,M,>$70K,South,married
1041,M,>$70K,South,married
1042,M,>$70K,South,unmarried
1043,M,$25-$70K,South,married
1044,M,$25-$70K,South,unmarried
1045,M,$25-$70K,South,unmarried
1046,M,$25-$70K,South,married
1047,M,$25-$70K,South,married
1048,M,$25-$70K,South,married
1049,M,$25-$70K,South,unmarried
1050,M,$25-$70K,South,unmarried
1051,M,$25-$70K,South,unmarried
1052,M,$25-$70K,South,married
1053,M,$25-$70K,South,unmarried
1054,M,$25-$70K,South,married
1055,M,$25-$70K,South,married
1056,M,$25-$70K,South,married
1057,M,$25-$70K,South,unmarried
1058,M,$25-$70K,South,married
1059,M,$25-$70K,South,unmarried
1060,M,$25-$70K,South,married
1061,M,$25-$70K,South,married
1062,M,$25-$70K,South,unmarried
1063,M,$25-$70K,South,married
1064,M,$25-$70K,South,married
1065,M,$25-$70K,South,unmarried
1066,M,$25-$70K,South,unmarried
