policy_id,customer_id,fuel,vehicle_segment,premium,bodily_injury_liability,personal_injury_protection,property_damage_liability,collision,comprehensive,date_of_purchase
12345,400,CNG,A,958,FALSE,FALSE,FALSE,TRUE,TRUE,1516060800
12346,401,CNG,A,1272,TRUE,FALSE,FALSE,FALSE,TRUE,1515024000
12347,402,CNG,A,2150,FALSE,TRUE,TRUE,TRUE,FALSE,1515283200
12348,403,CNG,A,2123,TRUE,FALSE,TRUE,TRUE,TRUE,1515283200
12349,404,CNG,A,1110,TRUE,TRUE,TRUE,TRUE,TRUE,1514764800
12350,405,CNG,A,1571,FALSE,FALSE,TRUE,FALSE,FALSE,1516579200
12351,406,CNG,A,1030,TRUE,TRUE,TRUE,TRUE,FALSE,1516320000
12352,407,CNG,A,1732,TRUE,TRUE,TRUE,FALSE,FALSE,1516665600
12353,408,CNG,A,2175,FALSE,FALSE,TRUE,FALSE,TRUE,1514764800
12354,409,CNG,A,1725,FALSE,FALSE,FALSE,TRUE,FALSE,1516406400
12355,410,CNG,A,1805,FALSE,TRUE,FALSE,TRUE,FALSE,1517097600
12356,411,CNG,A,1552,TRUE,TRUE,FALSE,FALSE,TRUE,1516147200
12357,412,CNG,A,1888,FALSE,TRUE,TRUE,TRUE,TRUE,1517184000
12358,413,CNG,A,1355,TRUE,FALSE,FALSE,TRUE,FALSE,1516233600
12359,414,CNG,A,2356,FALSE,FALSE,FALSE,FALSE,TRUE,1516320000
12360,415,CNG,A,2102,TRUE,FALSE,FALSE,TRUE,FALSE,1515196800
12361,416,CNG,A,1258,TRUE,TRUE,TRUE,TRUE,TRUE,1517011200
12362,417,CNG,A,2326,FALSE,TRUE,FALSE,TRUE,TRUE,1516492800
420,418,CNG,A,584,TRUE,TRUE,TRUE,TRUE,FALSE,1516752000
12364,419,CNG,A,2397,TRUE,TRUE,TRUE,FALSE,FALSE,1515369600
12365,420,CNG,A,1493,TRUE,FALSE,FALSE,FALSE,FALSE,1516665600
12366,420,CNG,A,661,FALSE,TRUE,TRUE,FALSE,FALSE,1514851200
12367,420,CNG,A,685,TRUE,TRUE,FALSE,TRUE,FALSE,1514937600
12368,420,CNG,A,1006,TRUE,TRUE,TRUE,TRUE,TRUE,1515369600
12369,420,CNG,A,1160,TRUE,FALSE,FALSE,TRUE,TRUE,1516060800
12370,420,CNG,A,1602,FALSE,FALSE,FALSE,TRUE,TRUE,1516838400
12371,420,CNG,A,2355,FALSE,TRUE,TRUE,TRUE,TRUE,1516838400
12372,420,CNG,A,1921,TRUE,TRUE,TRUE,FALSE,TRUE,1515110400
12373,420,CNG,A,2200,FALSE,TRUE,FALSE,TRUE,TRUE,1516492800
12374,420,CNG,A,2357,FALSE,TRUE,TRUE,TRUE,TRUE,1517011200
12375,420,CNG,A,1047,FALSE,TRUE,FALSE,TRUE,FALSE,1516579200
840,420,CNG,A,2089,FALSE,TRUE,FALSE,TRUE,FALSE,1515024000
12377,420,CNG,A,1780,FALSE,FALSE,FALSE,TRUE,TRUE,1515974400
12378,420,CNG,A,1035,TRUE,FALSE,TRUE,FALSE,FALSE,1516924800
12379,420,CNG,A,526,TRUE,TRUE,TRUE,FALSE,TRUE,1517184000
12380,420,CNG,A,1827,FALSE,FALSE,TRUE,TRUE,FALSE,1516406400
12381,420,CNG,A,2003,TRUE,TRUE,FALSE,TRUE,FALSE,1516752000
12382,420,CNG,A,1960,FALSE,TRUE,TRUE,TRUE,TRUE,1515369600
12383,420,CNG,A,1197,FALSE,TRUE,FALSE,TRUE,FALSE,1514937600
12384,420,CNG,A,614,FALSE,TRUE,FALSE,FALSE,TRUE,1516492800
12385,420,CNG,A,568,TRUE,TRUE,TRUE,FALSE,FALSE,1515456000
12386,420,CNG,A,2149,TRUE,FALSE,TRUE,TRUE,TRUE,1515715200
12387,420,CNG,A,1797,TRUE,FALSE,TRUE,FALSE,TRUE,1517011200
12388,420,CNG,A,1246,TRUE,FALSE,FALSE,FALSE,FALSE,1515888000
12389,420,CNG,A,1295,TRUE,TRUE,FALSE,FALSE,FALSE,1516752000
12390,420,CNG,A,642,FALSE,FALSE,TRUE,FALSE,TRUE,1516492800
12391,420,CNG,A,1979,TRUE,TRUE,TRUE,TRUE,TRUE,1515196800
12392,420,CNG,A,2327,FALSE,FALSE,TRUE,TRUE,TRUE,1515801600
12393,420,CNG,A,1025,TRUE,FALSE,FALSE,FALSE,TRUE,1515110400
12394,420,CNG,A,529,FALSE,FALSE,FALSE,FALSE,TRUE,1516665600
12395,420,CNG,A,2072,FALSE,FALSE,TRUE,FALSE,FALSE,1516060800
12396,420,CNG,A,2103,FALSE,FALSE,FALSE,TRUE,FALSE,1516233600
12397,420,CNG,A,1929,FALSE,TRUE,FALSE,FALSE,TRUE,1515974400
12398,420,CNG,A,2143,TRUE,FALSE,TRUE,TRUE,TRUE,1515801600
12399,420,CNG,A,2132,FALSE,FALSE,FALSE,TRUE,FALSE,1515628800
12400,420,CNG,A,1459,TRUE,FALSE,FALSE,FALSE,FALSE,1515801600
12401,420,CNG,A,1831,TRUE,TRUE,FALSE,FALSE,FALSE,1516147200
12402,420,CNG,A,1171,TRUE,TRUE,TRUE,FALSE,FALSE,1517270400
12403,420,CNG,A,1692,TRUE,FALSE,TRUE,TRUE,FALSE,1515542400
12404,420,CNG,A,1262,FALSE,TRUE,TRUE,FALSE,TRUE,1515628800
12405,420,CNG,A,2451,FALSE,TRUE,FALSE,FALSE,FALSE,1516665600
12406,420,CNG,A,1906,FALSE,FALSE,TRUE,TRUE,TRUE,1514937600
12407,420,CNG,A,2095,TRUE,FALSE,TRUE,TRUE,FALSE,1516752000
12408,420,CNG,A,1597,TRUE,FALSE,FALSE,TRUE,FALSE,1516406400
12409,420,CNG,A,2362,TRUE,TRUE,FALSE,TRUE,FALSE,1515974400
12410,420,CNG,A,1612,TRUE,TRUE,FALSE,TRUE,FALSE,1516147200
12411,420,CNG,A,711,FALSE,FALSE,FALSE,TRUE,TRUE,1516320000
12412,420,CNG,A,1771,TRUE,FALSE,TRUE,FALSE,TRUE,1517184000
12413,420,CNG,A,1301,FALSE,TRUE,FALSE,FALSE,TRUE,1516406400
12414,420,CNG,A,2411,TRUE,TRUE,FALSE,FALSE,TRUE,1516060800
12415,420,CNG,A,1065,FALSE,TRUE,FALSE,FALSE,TRUE,1515542400
12416,420,CNG,A,2393,TRUE,TRUE,TRUE,TRUE,FALSE,1515801600
12417,420,CNG,A,1837,TRUE,TRUE,TRUE,FALSE,FALSE,1515110400
12418,420,CNG,A,1598,FALSE,FALSE,TRUE,FALSE,FALSE,1514764800
12419,420,CNG,A,1072,TRUE,FALSE,TRUE,FALSE,TRUE,1517270400
